Title,ISBN,Author,Published Year,Publisher,Status,
Vanity Fair: A Novel Without a Hero,978-0000000543,William Makepeace Thackeray- John Carey,1847,Amazon Digital Services- Inc.,Borrowed,
The Sirens of Titan,978-0000000544,Kurt Vonnegut Jr.,1959,Amazon Digital Services- Inc.,Borrowed,
Dolores Claiborne,978-0000000545,Stephen King- Dominique Dill,1992,Amazon Digital Services- Inc.,Reserved,
The Nest,978-0000000546,Cynthia D'Aprix Sweeney,2016,Amazon Digital Services- Inc.,Available,
Fables- Volume 1: Legends in Exile,978-0000000547,Bill Willingham- Lan Medina- Steve Leialoha- Craig Hamilton- James Jean,2001,Penguin Group (USA) LLC,Available,
Getting Things Done: How To Achieve Stress-free Productivity,978-0000000548,David Allen,2001,Amazon Digital Services- Inc.,Borrowed,
The Celestine Prophecy,978-0000000549,James Redfield,1993,Penguin Group (USA) LLC,Borrowed,
My Life Next Door,978-0000000550,Huntley Fitzpatrick,2012,Simon and Schuster Digital Sales Inc,Borrowed,
Winter of the World,978-0000000551,Ken Follett,2012,HarperCollins Publishing,Available,
è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to- kare no junrei no toshi],978-0000000552,Haruki Murakami- Philip Gabriel,2013,Amazon Digital Services- Inc.,Available,
Lucky,978-0000000553,Alice Sebold,1999,Amazon Digital Services- Inc.,Borrowed,
To The Lighthouse,978-0000000554,Virginia Woolf,1927,Macmillan,Available,
Five Point Someone: What Not to Do at IIT,978-0000000555,Chetan Bhagat,2004,Amazon Digital Services- Inc.,Borrowed,
Guilty Pleasures,978-0000000556,Laurell K. Hamilton,1993,Amazon Digital Services- Inc.,Available,
The Messenger,978-0000000557,Markus Zusak,2002,Amazon Digital Services- Inc.,Available,
Far from the Madding Crowd,978-0000000558,Thomas Hardy- Rosemarie Morgan- Shannon Russell,1874,HarperCollins Publishers,Borrowed,
Equal Rites,978-0000000559,Terry Pratchett,1987,Amazon Digital Services- Inc.,Available,
House of Leaves,978-0000000560,Mark Z. Danielewski,2000,Amazon Digital Services- Inc.,Available,
Cruel & Unusual,978-0000000561,Patricia Cornwell,1993,Amazon Digital Services- Inc.,Available,
Sycamore Row,978-0000000562,John Grisham,2013,Penguin Group (USA) LLC,Reserved,
Awakened,978-0000000563,P.C. Cast- Kristin Cast,2011,Hachette Book Group,Available,
My Ãntonia,978-0000000564,Willa Cather,1918,Amazon Digital Services- Inc.,Available,
Life As We Knew It,978-0000000565,Susan Beth Pfeffer,2006,Amazon Digital Services- Inc.,Available,
America (The Book): A Citizen's Guide to Democracy Inaction,978-0000000566,Jon Stewart- Ben Karlin- David Javerbaum- Rich Bloomquist- Steve Bodow- Tim Carvell- Eric Drysdale- J.R. Havlan- Scott Jacobson- Tom Johnson- Rob Kutner- Chris Regan- Jason Reich- Jason Ross- Stephen Colbert- Samantha Bee- Rob Corddry- Brendan Hay- Ed Helms,2004,Random House LLC,Available,
90 Minutes in Heaven,978-0000000567,Don Piper- Cecil Murphey,2004,Amazon Digital Services- Inc.,Available,
The Longest Ride,978-0000000568,Nicholas Sparks,2012,Amazon Digital Services- Inc.,Available,
é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng],978-0000000569,Lao Tzu- Gia-Fu Feng- Jane English- Chungliang Al Huang- Rowena Pattee Kryder- Toinette Lippe,300,Penguin Group (USA) LLC,Available,
Kane and Abel,978-0000000570,Jeffrey Archer,1979,Amazon Digital Services- Inc.,Available,
Change of Heart,978-0000000571,Jodi Picoult,2008,Simon and Schuster Digital Sales Inc,Borrowed,
Dry: A Memoir,978-0000000572,Augusten Burroughs,2003,Amazon Digital Services- Inc.,Available,
Sam's Letters To Jennifer,978-0000000573,James Patterson,2001,Hachette Book Group,Borrowed,
Grey,978-0000000574,E.L. James,2015,Hachette Book Group,Available,
Dune Messiah,978-0000000575,Frank Herbert,1969,Amazon Digital Services- Inc.,Available,
The Great Divorce,978-0000000576,C.S. Lewis,1945,Penguin Group (USA) LLC,Available,
Little Earthquakes,978-0000000577,Jennifer Weiner,2004,Random House LLC,Borrowed,
Eventyr og historier,978-0000000578,Hans Christian Andersen- Lily Owens- Arthur Rackham- Hans Richter,1835,Amazon Digital Services- Inc.,Available,
New Moon: The Complete Illustrated Movie Companion,978-0000000579,Mark Cotta Vaz,2009,Penguin Group (USA) LLC,Available,
Maybe Someday,978-0000000580,Colleen Hoover,2014,Random House LLC,Available,
Mr Maybe,978-0000000581,Jane Green,1999,Amazon Digital Services- Inc.,Available,
Anne of the Island,978-0000000582,L.M. Montgomery,1915,Random House LLC,Borrowed,
Also sprach Zarathustra,978-0000000583,Friedrich Nietzsche- Walter Kaufmann,1883,Penguin Group (USA) LLC,Available,
North and South,978-0000000584,Elizabeth Gaskell- Alan Shelston,1854,Amazon Digital Services- Inc.,Reserved,
A Stolen Life,978-0000000585,Jaycee Dugard,2011,Amazon Digital Services- Inc.,Available,
The Immortals of Meluha,978-0000000586,Amish Tripathi,2010,Amazon Digital Services- Inc.,Borrowed,
The Lost World,978-0000000587,Michael Crichton,1995,Amazon Digital Services- Inc.,Available,
Requiem,978-0000000588,Lauren Oliver,2013,Amazon Digital Services- Inc.,Borrowed,
A Crown of Swords,978-0000000589,Robert Jordan,1996,Amazon Digital Services- Inc.,Borrowed,
Aesopica,978-0000000590,Aesop- Laura Harris- Laura Gibbs,560,Amazon Digital Services- Inc.,Borrowed,
Blood Meridian: Or the Evening Redness in the West,978-0000000591,Cormac McCarthy,1985,Penguin Group (USA) LLC,Borrowed,
Finale,978-0000000592,Becca Fitzpatrick,2012,Penguin Group (USA) LLC,Available,
Skeleton Crew,978-0000000593,Stephen King,1985,Random House LLC,Available,
Lullaby,978-0000000594,Chuck Palahniuk,2002,Hachette Book Group,Available,
Two States,978-0000000595,Chetan Bhagat,2009,Amazon Digital Services- Inc.,Available,
ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,978-0000000596,Matsuri Hino- Tomo Kimura,2005,Amazon Digital Services- Inc.,Borrowed,
Summer Knight,978-0000000597,Jim Butcher,2002,Amazon Digital Services- Inc.,Available,
Dragonflight,978-0000000598,Anne McCaffrey- Teodor PanasiÅ„ski,1968,Amazon Digital Services- Inc.,Available,
The History of the Hobbit- Part One: Mr. Baggins,978-0000000599,John D. Rateliff- J.R.R. Tolkien,2007,Amazon Digital Services- Inc.,Available,
Ugly Love,978-0000000600,Colleen Hoover,2014,Random House LLC,Available,
Chocolat,978-0000000601,Joanne Harris,1998,Amazon Digital Services- Inc.,Reserved,
The Amityville Horror,978-0000000602,Jay Anson,1977,Hachette Book Group,Borrowed,
The English Patient,978-0000000603,Michael Ondaatje,1992,Amazon Digital Services- Inc.,Borrowed,
Gabriel's Rapture,978-0000000604,Sylvain Reynard,2012,Amazon Digital Services- Inc.,Available,
Dubliners,978-0000000605,James Joyce- Jeri Johnson,1914,Random House LLC,Borrowed,
Let the Great World Spin,978-0000000606,Colum McCann,2009,Amazon Digital Services- Inc.,Available,
The Eternity Code,978-0000000607,Eoin Colfer,2003,Amazon Digital Services- Inc.,Available,
Tell No One,978-0000000608,Harlan Coben,2001,Amazon Digital Services- Inc.,Available,
The Tommyknockers,978-0000000609,Stephen King,1987,Amazon Digital Services- Inc.,Available,
Hex Hall,978-0000000610,Rachel Hawkins,2010,Amazon Digital Services- Inc.,Available,
Steal Like an Artist,978-0000000611,Austin Kleon,2010,Amazon Digital Services- Inc.,Available,
Cryptonomicon,978-0000000612,Neal Stephenson,1999,Random House LLC,Available,
Beautiful Bastard,978-0000000613,Christina Lauren,2013,Amazon Digital Services- Inc.,Available,
Prodigal Summer,978-0000000614,Barbara Kingsolver,2000,Simon and Schuster Digital Sales Inc,Borrowed,
We Were the Mulvaneys,978-0000000615,Joyce Carol Oates,1996,Hachette Book Group,Available,
Understanding Comics: The Invisible Art,978-0000000616,Scott McCloud,1993,Amazon Digital Services- Inc.,Available,
Beautiful Darkness,978-0000000617,Kami Garcia- Margaret Stohl,2010,HarperCollins Publishers,Available,
The Psychopath Test,978-0000000618,Jon Ronson,2011,Macmillan,Available,
Vanishing Acts,978-0000000619,Jodi Picoult,2005,Random House LLC,Available,
Absolute Power,978-0000000620,David Baldacci,1995,Macmillan,Available,
Hot Six,978-0000000621,Janet Evanovich,2000,Amazon Digital Services- Inc.,Available,
The Time Keeper,978-0000000622,Mitch Albom,2012,Amazon Digital Services- Inc.,Available,
A Dirty Job,978-0000000623,Christopher Moore,2006,Amazon Digital Services- Inc.,Borrowed,
Moneyball: The Art of Winning an Unfair Game,978-0000000624,Michael Lewis,2003,Amazon Digital Services- Inc.,Available,
The Amulet of Samarkand,978-0000000625,Jonathan Stroud,2003,Amazon Digital Services- Inc.,Available,
I Am America (And So Can You!),978-0000000626,Stephen Colbert- Richard Dahm- Paul Dinello- Allison Silverman- Michael Brumm- Eric Drydale- Rob Dubbin- Glenn Eichler- Peter Grosz- Peter Gwinn- Jay Katsir- Laura Krafft- Frank Lesser- Tom Purcell,2007,Penguin Group (USA) LLC,Available,
The One Minute Manager,978-0000000627,Kenneth H. Blanchard- Spencer Johnson,1981,Amazon Digital Services- Inc.,Available,
Exodus,978-0000000628,Leon Uris,1958,Random House LLC,Available,
Stones from the River,978-0000000629,Ursula Hegi,1994,Amazon Digital Services- Inc.,Borrowed,
The Big Sleep,978-0000000630,Raymond Chandler,1939,Amazon Digital Services- Inc.,Borrowed,
Cannery Row,978-0000000631,John Steinbeck,1945,HarperCollins Publishers,Available,
Seriously...I'm Kidding,978-0000000632,Ellen DeGeneres,2011,Hachette Book Group,Borrowed,
The Miserable Mill,978-0000000633,Lemony Snicket- Brett Helquist,2000,Penguin Group (USA) LLC,Available,
The Snow Child,978-0000000634,Eowyn Ivey,2012,Amazon Digital Services- Inc.,Borrowed,
Wait for You,978-0000000635,J. Lynn- Jennifer L. Armentrout,2013,Amazon Digital Services- Inc.,Available,
The Last Straw,978-0000000636,Jeff Kinney,2009,Amazon Digital Services- Inc.,Available,
La Divina Commedia,978-0000000637,Dante Alighieri- Allen Mandelbaum- Eugenio Montale,1308,Amazon Digital Services- Inc.,Available,
The Tao of Pooh,978-0000000638,Benjamin Hoff- Ernest H. Shepard,1982,HarperCollins Publishers,Available,
Onyx,978-0000000639,Jennifer L. Armentrout,2012,Random House LLC,Available,
Unravel Me (Shatter Me- #2),978-0000000640,Tahereh Mafi,2013,Amazon Digital Services- Inc.,Available,
The Birth of Venus,978-0000000641,Sarah Dunant,2003,Amazon Digital Services- Inc.,Available,
The Opal Deception,978-0000000642,Eoin Colfer,2005,Amazon Digital Services- Inc.,Available,
Det som inte dÃ¶dar oss,978-0000000643,David Lagercrantz- Stieg Larsson- George Goulding,2015,Random House LLC,Reserved,
The Girls,978-0000000644,Emma Cline,2016,Random House LLC,Available,
The Goose Girl,978-0000000645,Shannon Hale,2003,Simon and Schuster Digital Sales Inc,Borrowed,
Mystic River,978-0000000646,Dennis Lehane,2001,Random House LLC,Available,
Warm Bodies,978-0000000647,Isaac Marion,2010,Amazon Digital Services- Inc.,Available,
The Prince and the Pauper,978-0000000648,Mark Twain- Everett H. Emerson,1881,Random House LLC,Available,
The Moon is a Harsh Mistress,978-0000000649,Robert A. Heinlein,1966,Penguin Group (USA) LLC,Available,
The Forty Rules of Love,978-0000000650,Elif Shafak- Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚- Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ- Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´,2010,Amazon Digital Services- Inc.,Available,
High Five,978-0000000651,Janet Evanovich,1999,Amazon Digital Services- Inc.,Available,
Joyland,978-0000000652,Stephen King,2013,Amazon Digital Services- Inc.,Available,
é€²æ’ƒã®å·¨äºº 1,978-0000000653,Hajime Isayama- Sheldon Drzka,2010,Amazon Digital Services- Inc.,Borrowed,
Tender Is the Night,978-0000000654,F. Scott Fitzgerald,1933,Amazon Digital Services- Inc.,Available,
Cold Sassy Tree,978-0000000655,Olive Ann Burns,1984,Random House LLC,Available,
The Glass Menagerie,978-0000000656,Tennessee Williams,1945,Amazon Digital Services- Inc.,Borrowed,
L'amica geniale,978-0000000657,Elena Ferrante- Ann Goldstein,2011,Random House LLC,Available,
The 4-Hour Workweek: Escape 9-5- Live Anywhere- and Join the New Rich,978-0000000658,Timothy Ferriss,2007,Amazon Digital Services- Inc.,Borrowed,
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,978-0000000659,Robin S. Sharma,1996,Amazon Digital Services- Inc.,Available,
Rules of Civility,978-0000000660,Amor Towles,2011,Penguin Group (USA) LLC,Available,
Ringworld,978-0000000661,Larry Niven,1970,Amazon Digital Services- Inc.,Borrowed,
Between Shades of Gray,978-0000000662,Ruta Sepetys,2011,Amazon Digital Services- Inc.,Available,
Frindle,978-0000000663,Andrew Clements- Brian Selznick,1996,Macmillan,Available,
Dog Days,978-0000000664,Jeff Kinney,2009,Amazon Digital Services- Inc.,Available,
The Round House,978-0000000665,Louise Erdrich,2012,Amazon Digital Services- Inc.,Borrowed,
A Wind in the Door,978-0000000666,Madeleine L'Engle,1973,Amazon Digital Services- Inc.,Borrowed,
Free Four: Tobias Tells the Divergent Story,978-0000000667,Veronica Roth,2012,Hachette Book Group,Available,
A Little Life,978-0000000668,Hanya Yanagihara,2015,Amazon Digital Services- Inc.,Borrowed,
Y: The Last Man- Vol. 1: Unmanned,978-0000000669,Brian K. Vaughan- Pia Guerra- JosÃ© MarzÃ¡n Jr.,2003,Amazon Digital Services- Inc.,Available,
The Alloy of Law,978-0000000670,Brandon Sanderson,2011,Amazon Digital Services- Inc.,Available,
Dead Reckoning,978-0000000671,Charlaine Harris,2011,Amazon Digital Services- Inc.,Borrowed,
The Accidental Tourist,978-0000000672,Anne Tyler- Jennifer Bassett,1985,Amazon Digital Services- Inc.,Available,
Aristotle and Dante Discover the Secrets of the Universe,978-0000000673,Benjamin Alire SÃ¡enz,2012,Amazon Digital Services- Inc.,Available,
The Invisible Man,978-0000000674,H.G. Wells,1897,Macmillan,Borrowed,
ä¸–ç•Œã®çµ‚ã‚Šã¨ãƒãƒ¼ãƒ‰ãƒœã‚¤ãƒ«ãƒ‰ãƒ»ãƒ¯ãƒ³ãƒ€ãƒ¼ãƒ©ãƒ³ãƒ‰ [Sekai no owari to hÄdoboirudo wandÄrando],978-0000000675,Haruki Murakami- Alfred Birnbaum,1985,Amazon Digital Services- Inc.,Available,
Na margem do rio Piedra eu sentei e chorei,978-0000000676,Paulo Coelho- Alan R. Clarke,1994,Random House LLC,Available,
Der Schweizerische Robinson,978-0000000677,Johann David Wyss- Scott McKowen- Arthur Pober,1812,Amazon Digital Services- Inc.,Available,
Four Past Midnight,978-0000000678,Stephen King,1990,HarperCollins Publishers,Borrowed,
The Marriage Bargain,978-0000000679,Jennifer Probst,2012,Random House LLC,Available,
Anne of Avonlea,978-0000000680,L.M. Montgomery,1909,Amazon Digital Services- Inc.,Available,
The Little Engine That Could,978-0000000681,Watty Piper- Doris Hauman- George Hauman,1930,Amazon Digital Services- Inc.,Available,
We Are All Completely Beside Ourselves,978-0000000682,Karen Joy Fowler,2013,Amazon Digital Services- Inc.,Available,
Children of the Mind,978-0000000683,Orson Scott Card,1996,Amazon Digital Services- Inc.,Available,
Ulysses,978-0000000684,James Joyce,1922,Amazon Digital Services- Inc.,Available,
Someone Like You,978-0000000685,Sarah Dessen,1998,Simon and Schuster Digital Sales Inc,Available,
Moloka'i,978-0000000686,Alan Brennert,2003,HarperCollins Christian Publishing,Available,
The Witching Hour,978-0000000687,Anne Rice,1990,Amazon Digital Services- Inc.,Available,
This Present Darkness,978-0000000688,Frank E. Peretti,1986,Amazon Digital Services- Inc.,Available,
The Coincidence of Callie & Kayden,978-0000000689,Jessica Sorensen,2012,Amazon Digital Services- Inc.,Available,
Fates and Furies,978-0000000690,Lauren Groff,2015,HarperCollins Publishers,Available,
Summer Sisters,978-0000000691,Judy Blume,1998,Penguin Group (USA) LLC,Available,
Stuart Little,978-0000000692,E.B. White- Garth Williams,1945,Amazon Digital Services- Inc.,Available,
The Foundation Trilogy,978-0000000693,Isaac Asimov,1953,HarperCollins Publishers,Available,
The Elegant Universe: Superstrings- Hidden Dimensions- and the Quest for the Ultimate Theory,978-0000000694,Brian Greene,1999,Amazon Digital Services- Inc.,Available,
The Austere Academy,978-0000000695,Lemony Snicket- Brett Helquist,2000,Amazon Digital Services- Inc.,Borrowed,
Seven Up,978-0000000696,Janet Evanovich,2001,HarperCollins Publishers,Available,
The Awakening,978-0000000697,Kelley Armstrong,2009,Simon and Schuster Digital Sales Inc,Borrowed,
Death Masks,978-0000000698,Jim Butcher,2003,Amazon Digital Services- Inc.,Borrowed,
Stellaluna,978-0000000699,Janell Cannon,1993,Amazon Digital Services- Inc.,Available,
Before They Are Hanged,978-0000000700,Joe Abercrombie,2007,Random House LLC,Available,
Loving Frank,978-0000000701,Nancy Horan,2007,Hachette Book Group,Available,
Hard Eight,978-0000000702,Janet Evanovich- Lorelei King,2002,Random House LLC,Available,
The Vile Village,978-0000000703,Lemony Snicket- Brett Helquist,2001,Penguin Group (USA) LLC,Reserved,
Sybil,978-0000000704,Flora Rheta Schreiber,1973,HarperCollins Publishing,Available,
Cosmos,978-0000000705,Carl Sagan,1980,Penguin Group (USA) LLC,Available,
Haunted: A Novel of Stories,978-0000000706,Chuck Palahniuk,2005,Simon and Schuster Digital Sales Inc,Available,
The Shell Seekers,978-0000000707,Rosamunde Pilcher,1987,Amazon Digital Services- Inc.,Borrowed,
What Is the What: The Autobiography of Valentino Achak Deng,978-0000000708,Dave Eggers,2006,Penguin Group (USA) LLC,Available,
CrÃ³nica de una muerte anunciada,978-0000000709,Gabriel GarcÃ­a MÃ¡rquez- Gregory Rabassa,1981,Simon and Schuster Digital Sales Inc,Available,
A Scandal in Bohemia,978-0000000710,Ronald Holt- Arthur Conan Doyle,1891,Amazon Digital Services- Inc.,Available,
Killing Lincoln: The Shocking Assassination that Changed America Forever,978-0000000711,Bill O'Reilly- Martin Dugard,2011,Amazon Digital Services- Inc.,Available,
The Lowland,978-0000000712,Jhumpa Lahiri,2013,Amazon Digital Services- Inc.,Reserved,
The Ruins of Gorlan,978-0000000713,John Flanagan,2004,Random House LLC,Available,
Wintergirls,978-0000000714,Laurie Halse Anderson,2009,Amazon Digital Services- Inc.,Available,
The Brethren,978-0000000715,John Grisham,2000,Penguin Group (USA) LLC,Available,
Assassin's Quest,978-0000000716,Robin Hobb,1997,Amazon Digital Services- Inc.,Available,
Rosemary's Baby,978-0000000717,Ira Levin,1967,Amazon Digital Services- Inc.,Borrowed,
The Talisman,978-0000000718,Stephen King- Peter Straub,1984,Amazon Digital Services- Inc.,Available,
The Path of Daggers,978-0000000719,Robert Jordan,1998,Amazon Digital Services- Inc.,Borrowed,
The Dharma Bums,978-0000000720,Jack Kerouac,1958,Amazon Digital Services- Inc.,Reserved,
The Reckoning,978-0000000721,Kelley Armstrong,2010,Amazon Digital Services- Inc.,Reserved,
Behind the Beautiful Forevers: Life- Death- and Hope in a Mumbai Undercity,978-0000000722,Katherine Boo,2012,Random House LLC,Borrowed,
Mary Poppins,978-0000000723,P.L. Travers- Mary Shepard,1934,Amazon Digital Services- Inc.,Borrowed,
Red Seas Under Red Skies,978-0000000724,Scott Lynch,2007,Amazon Digital Services- Inc.,Borrowed,
The House on Mango Street,978-0000000725,Sandra Cisneros,1984,Amazon Digital Services- Inc.,Available,
City of Thieves,978-0000000726,David Benioff,2008,HarperCollins Publishers,Available,
Halfway to the Grave,978-0000000727,Jeaniene Frost,2007,Amazon Digital Services- Inc.,Available,
The Twits,978-0000000728,Roald Dahl- Quentin Blake,1980,Random House LLC,Available,
Abhorsen,978-0000000729,Garth Nix,2003,Amazon Digital Services- Inc.,Available,
The Beach House,978-0000000730,James Patterson- Peter de Jonge,2002,Amazon Digital Services- Inc.,Available,
Eyes of the Dragon,978-0000000731,Stephen King,1987,HarperCollins Publishers,Reserved,
Children of Dune,978-0000000732,Frank Herbert,1976,Amazon Digital Services- Inc.,Available,
Leviathan Wakes,978-0000000733,James S.A. Corey,2011,HarperCollins Publishers,Available,
Queen of Shadows,978-0000000734,Sarah J. Maas,2015,Macmillan,Available,
Maus II : And Here My Troubles Began,978-0000000735,Art Spiegelman,1991,Hachette Book Group,Borrowed,
The Snowy Day,978-0000000736,Ezra Jack Keats,1962,Amazon Digital Services- Inc.,Available,
To the Nines,978-0000000737,Janet Evanovich,2003,Penguin Group (USA) LLC,Available,
Where We Belong,978-0000000738,Emily Giffin,2012,Amazon Digital Services- Inc.,Borrowed,
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,978-0000000739,Richard Preston,1994,Amazon Digital Services- Inc.,Available,
ã‚¹ãƒ—ãƒ¼ãƒˆãƒ‹ã‚¯ã®æ‹äºº [SupÅ«toniku no Koibito],978-0000000740,Haruki Murakami- Philip Gabriel,1999,Penguin Group (USA) LLC,Borrowed,
The Signature of All Things,978-0000000741,Elizabeth Gilbert,2012,Amazon Digital Services- Inc.,Available,
Eats- Shoots and Leaves,978-0000000742,Lynne Truss,2003,Amazon Digital Services- Inc.,Borrowed,
Dead Witch Walking,978-0000000743,Kim Harrison,2004,Amazon Digital Services- Inc.,Available,
,978-0000000744,Clement C. Moore- Jan Brett,1986,Amazon Digital Services- Inc.,Available,
An Echo in the Bone,978-0000000745,Diana Gabaldon,2009,Simon and Schuster Digital Sales Inc,Available,
Unearthly,978-0000000746,Cynthia Hand,2011,Hachette Book Group,Available,
The Case for Christ,978-0000000747,Lee Strobel,1988,Macmillan,Available,
Knife of Dreams,978-0000000748,Robert Jordan,2005,Amazon Digital Services- Inc.,Available,
Hoot,978-0000000749,Carl Hiaasen,2002,Penguin Group (USA) LLC,Available,
Ã†neis,978-0000000750,Virgil- Robert Fitzgerald,17,Amazon Digital Services- Inc.,Borrowed,
This is How You Lose Her,978-0000000751,Junot DÃ­az,2012,Amazon Digital Services- Inc.,Borrowed,
ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku],978-0000000752,Haruki Murakami- Jay Rubin,2004,Amazon Digital Services- Inc.,Available,
Ishmael: An Adventure of the Mind and Spirit,978-0000000753,Daniel Quinn,1992,Random House LLC,Borrowed,
It's Not Summer Without You,978-0000000754,Jenny Han,2010,Amazon Digital Services- Inc.,Available,
Pushing the Limits,978-0000000755,Katie McGarry,2012,Amazon Digital Services- Inc.,Available,
Quidditch Through the Ages,978-0000000756,Kennilworthy Whisp- J.K. Rowling,2001,Random House LLC,Borrowed,
Miss Nelson Is Missing!,978-0000000757,Harry Allard- James Marshall,1977,Penguin Group (USA) LLC,Available,
The Long Walk,978-0000000758,Richard Bachman- Stephen King,1979,Hachette Book Group,Borrowed,
The Ersatz Elevator,978-0000000759,Lemony Snicket- Brett Helquist,2001,Random House LLC,Borrowed,
Messenger,978-0000000760,Lois Lowry,2004,Amazon Digital Services- Inc.,Available,
Lover Revealed,978-0000000761,J.R. Ward,2007,Amazon Digital Services- Inc.,Available,
'Salem's Lot The Illustrated Edition,978-0000000762,Stephen King- Jerry N. Uelsmann,2005,Hachette Book Group,Available,
The Mysterious Benedict Society,978-0000000763,Trenton Lee Stewart- Carson Ellis,2007,Amazon Digital Services- Inc.,Available,
God is Not Great: How Religion Poisons Everything,978-0000000764,Christopher Hitchens,2007,Amazon Digital Services- Inc.,Reserved,
Never Too Far (Too Far- #2),978-0000000765,Abbi Glines,2013,Amazon Digital Services- Inc.,Available,
State of Fear,978-0000000766,Michael Crichton,2004,Amazon Digital Services- Inc.,Available,
The Statistical Probability of Love at First Sight,978-0000000767,Jennifer E. Smith,2012,Amazon Digital Services- Inc.,Available,
The Golem's Eye,978-0000000768,Jonathan Stroud,2004,Simon and Schuster Digital Sales Inc,Available,
Still Life with Woodpecker,978-0000000769,Tom Robbins,1980,Amazon Digital Services- Inc.,Available,
Those Who Save Us,978-0000000770,Jenna Blum,2004,Amazon Digital Services- Inc.,Available,
The Broker,978-0000000771,John Grisham,2005,Amazon Digital Services- Inc.,Available,
Across the Universe,978-0000000772,Beth Revis,2011,Amazon Digital Services- Inc.,Available,
The Road Less Traveled: A New Psychology of Love- Traditional Values- and Spiritual Growth,978-0000000773,M. Scott Peck,1978,Amazon Digital Services- Inc.,Reserved,
Blood Rites,978-0000000774,Jim Butcher,2004,Amazon Digital Services- Inc.,Available,
The Boxcar Children,978-0000000775,Gertrude Chandler Warner- L. Kate Deal,1942,Simon and Schuster Digital Sales Inc,Available,
The Silent Wife,978-0000000776,A.S.A. Harrison,2013,Amazon Digital Services- Inc.,Available,
How to Be a Woman,978-0000000777,Caitlin Moran,2011,Amazon Digital Services- Inc.,Available,
A Court of Mist and Fury,978-0000000778,Sarah J. Maas,2016,Simon and Schuster Digital Sales Inc,Borrowed,
Life,978-0000000779,Keith Richards,2010,Random House LLC,Available,
Unaccustomed Earth,978-0000000780,Jhumpa Lahiri,2008,Amazon Digital Services- Inc.,Available,
The Pilot's Wife,978-0000000781,Anita Shreve,1998,Simon and Schuster Digital Sales Inc,Available,
White Noise,978-0000000782,Don DeLillo,1985,Amazon Digital Services- Inc.,Available,
Band of Brothers: E Company- 506th Regiment- 101st Airborne from Normandy to Hitler's Eagle's Nest,978-0000000783,Stephen E. Ambrose,1992,Amazon Digital Services- Inc.,Borrowed,
On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,978-0000000784,Charles Darwin,1859,HarperCollins Publishers,Available,
Blankets,978-0000000785,Craig Thompson,2003,Amazon Digital Services- Inc.,Available,
The Story of Edgar Sawtelle,978-0000000786,David Wroblewski,2008,Amazon Digital Services- Inc.,Available,
Drowning Ruth,978-0000000787,Christina Schwarz,2000,Amazon Digital Services- Inc.,Borrowed,
Post Office,978-0000000788,Charles Bukowski,1971,HarperCollins Publishers,Borrowed,
All the Pretty Horses,978-0000000789,Cormac McCarthy,1992,Amazon Digital Services- Inc.,Available,
Sherlock Holmes: The Complete Novels and Stories- Vol 2,978-0000000790,Arthur Conan Doyle- Kyle Freeman,1914,Random House LLC,Available,
One Piece- Volume 01,978-0000000791,EiichirÅ Oda- Andy Nakatani,1997,Amazon Digital Services- Inc.,Borrowed,
The Last Unicorn,978-0000000792,Peter S. Beagle,1968,Amazon Digital Services- Inc.,Available,
Magyk,978-0000000793,Angie Sage,2005,Amazon Digital Services- Inc.,Available,
Fever 1793,978-0000000794,Laurie Halse Anderson,2000,Amazon Digital Services- Inc.,Available,
The Likeness,978-0000000795,Tana French,2008,Penguin Group (USA) LLC,Available,
Dead Wake: The Last Crossing of the Lusitania,978-0000000796,Erik Larson,2015,Penguin Group (USA) LLC,Available,
The Jungle Book,978-0000000797,Rudyard Kipling,1894,Amazon Digital Services- Inc.,Available,
I Am Pilgrim,978-0000000798,Terry Hayes,2013,Amazon Digital Services- Inc.,Available,
Howl and Other Poems,978-0000000799,Allen Ginsberg- William Carlos Williams,1956,HarperCollins Publishers,Available,
Don't Sweat the Small Stuff,978-0000000800,Richard Carlson,1997,Random House LLC,Borrowed,
Go the Fuck to Sleep,978-0000000801,Adam Mansbach- Ricardo CortÃ©s,2011,Amazon Digital Services- Inc.,Borrowed,
Mostly Harmless,978-0000000802,Douglas Adams,1992,Simon and Schuster Digital Sales Inc,Available,
Benjamin Franklin: An American Life,978-0000000803,Walter Isaacson,2003,Macmillan,Available,
The Tiger's Wife,978-0000000804,TÃ©a Obreht,2011,Amazon Digital Services- Inc.,Reserved,
